fecha,0,1,2,3,4
2016-08-14 00:00:00+00:00,,,30.226190476190464,19.197619047619046,
2016-08-15 00:00:00+00:00,,,30.031578947368416,19.784210526315793,
2016-08-16 00:00:00+00:00,,,29.585937500000007,21.69375000000001,
2016-08-17 00:00:00+00:00,,,28.787499999999998,25.718750000000004,
2016-08-18 00:00:00+00:00,,,28.446551724137947,25.540517241379316,
2016-08-19 00:00:00+00:00,,,28.26692307692307,25.78615384615384,
2016-08-20 00:00:00+00:00,,,28.254918032786872,28.763934426229504,
2016-08-21 00:00:00+00:00,,,28.27131147540983,19.181147540983602,
2016-08-22 00:00:00+00:00,,,28.862328767123284,21.188356164383574,
2016-08-23 00:00:00+00:00,,,29.541176470588237,23.94789915966387,
2016-08-24 00:00:00+00:00,,,30.021276595744688,23.33475177304964,
2016-08-25 00:00:00+00:00,0.0,,30.175342465753396,22.288356164383575,
2016-08-26 00:00:00+00:00,32.0,,30.1423913043478,24.747826086956533,
2016-08-27 00:00:00+00:00,0.0,,30.921428571428567,23.88214285714286,
2016-08-28 00:00:00+00:00,0.0,,30.743877551020407,21.69897959183674,
2016-08-29 00:00:00+00:00,856.0,,30.26315789473684,17.637593984962393,
2016-08-30 00:00:00+00:00,679.0,,29.884920634920636,18.339682539682542,
2016-08-31 00:00:00+00:00,22.0,,29.535820895522388,21.41119402985074,
2016-09-01 00:00:00+00:00,58.0,,29.74782608695653,20.49347826086958,
2016-09-02 00:00:00+00:00,42.0,,29.885185185185193,19.18148148148148,
2016-09-03 00:00:00+00:00,0.0,,30.361538461538455,19.607692307692307,
2016-09-04 00:00:00+00:00,0.0,,30.6421875,19.225000000000005,
2016-09-05 00:00:00+00:00,160.0,,30.71511627906976,18.72558139534884,
2016-09-06 00:00:00+00:00,86.0,,30.958490566037742,16.48867924528302,
2016-09-07 00:00:00+00:00,210.0,,31.054166666666664,16.92083333333333,
2016-09-08 00:00:00+00:00,0.0,,30.086986301369862,19.812328767123276,
2016-09-09 00:00:00+00:00,92.0,,28.473972602739718,21.25616438356165,
2016-09-10 00:00:00+00:00,0.0,,28.56201550387596,20.1891472868217,
2016-09-11 00:00:00+00:00,1.0,,28.54107142857142,22.47142857142858,
2016-09-12 00:00:00+00:00,190.0,,28.844230769230766,24.33076923076923,
2016-09-13 00:00:00+00:00,302.0,,27.419512195121946,33.61707317073171,
2016-09-14 00:00:00+00:00,186.0,,25.73963963963964,23.555855855855857,
2016-09-15 00:00:00+00:00,167.0,,24.161111111111122,31.75833333333334,
2016-09-16 00:00:00+00:00,50.0,,24.577611940298524,31.626119402985065,
2016-09-17 00:00:00+00:00,0.0,,25.26030534351145,28.35496183206106,
2016-09-18 00:00:00+00:00,16.0,,25.576923076923073,24.93589743589744,
2016-09-19 00:00:00+00:00,157.0,,25.553125000000005,23.64999999999999,
2016-09-20 00:00:00+00:00,195.0,,26.064754098360638,20.912295081967216,
2016-09-21 00:00:00+00:00,127.0,,25.83333333333333,24.317543859649106,
2016-09-22 00:00:00+00:00,1033.0,,25.524427480916028,26.59541984732826,
2016-09-23 00:00:00+00:00,1162.0,,24.95365853658537,29.119512195121963,
2016-09-24 00:00:00+00:00,0.0,,25.572881355932203,23.647457627118644,
2016-09-25 00:00:00+00:00,0.0,,25.574264705882335,33.004411764705885,
2016-09-26 00:00:00+00:00,219.0,,25.2951219512195,27.148780487804874,
2016-09-27 00:00:00+00:00,46.0,,26.40625,22.6,
2016-09-28 00:00:00+00:00,136.0,,26.347222222222207,27.252777777777787,
2016-09-29 00:00:00+00:00,104.0,,26.02272727272726,26.67272727272727,
2016-09-30 00:00:00+00:00,215.0,,25.86756756756756,26.716216216216225,
2016-10-01 00:00:00+00:00,143.0,,25.859292035398216,26.769911504424776,
2016-10-02 00:00:00+00:00,142.0,,25.3579831932773,20.22605042016806,
2016-10-03 00:00:00+00:00,135.0,,24.89785714285713,21.876428571428562,
2016-10-04 00:00:00+00:00,147.0,,24.89062499999999,23.406249999999996,
2016-10-05 00:00:00+00:00,127.0,,24.94999999999998,21.814,
2016-10-06 00:00:00+00:00,108.0,,25.1483870967742,18.572580645161285,
2016-10-07 00:00:00+00:00,279.0,,24.53707865168539,19.565168539325846,
2016-10-08 00:00:00+00:00,0.0,,24.25,16.35625,
2016-10-09 00:00:00+00:00,83.0,,24.18157894736843,27.9657894736842,
2016-10-10 00:00:00+00:00,142.0,,23.92340425531916,30.731914893617034,
2016-10-11 00:00:00+00:00,121.0,,23.241221374045793,34.41145038167939,
2016-10-12 00:00:00+00:00,0.0,,22.601351351351333,43.295270270270294,
2016-10-13 00:00:00+00:00,96.0,,21.62074074074075,43.70518518518518,
2016-10-14 00:00:00+00:00,55.0,,20.96792452830188,42.27169811320754,
2016-10-15 00:00:00+00:00,1.0,,21.046341463414613,36.18211382113821,
2016-10-16 00:00:00+00:00,48.0,,20.96328124999999,38.17968750000001,
2016-10-17 00:00:00+00:00,78.0,,21.463636363636358,47.94685314685314,
2016-10-18 00:00:00+00:00,58.0,,21.943307086614176,51.181889763779544,
2016-10-19 00:00:00+00:00,28.0,,22.315942028985482,52.51304347826091,
2016-10-20 00:00:00+00:00,55.0,,22.674999999999976,49.380714285714284,
2016-10-21 00:00:00+00:00,43.0,,22.560638297872337,49.052127659574474,
2016-10-22 00:00:00+00:00,0.0,,22.319178082191787,52.247260273972564,
2016-10-23 00:00:00+00:00,35.0,,21.51066666666665,51.36600000000001,
2016-10-24 00:00:00+00:00,71.0,,20.84477611940299,50.84626865671642,
