fecha,0,1
2016-11-24 00:00:00+00:00,260,
2016-11-25 00:00:00+00:00,430,
2016-11-26 00:00:00+00:00,10,
2016-11-27 00:00:00+00:00,140,
2016-11-28 00:00:00+00:00,600,
2016-11-29 00:00:00+00:00,500,
2016-11-30 00:00:00+00:00,590,
2016-12-01 00:00:00+00:00,450,
2016-12-02 00:00:00+00:00,830,
2016-12-03 00:00:00+00:00,1830,
2016-12-04 00:00:00+00:00,3700,
2016-12-05 00:00:00+00:00,1420,
2016-12-06 00:00:00+00:00,10,
2016-12-07 00:00:00+00:00,520,
2016-12-08 00:00:00+00:00,40,
2016-12-09 00:00:00+00:00,350,
2016-12-10 00:00:00+00:00,10,
2016-12-11 00:00:00+00:00,0,
2016-12-12 00:00:00+00:00,680,
2016-12-13 00:00:00+00:00,670,
2016-12-14 00:00:00+00:00,670,
2016-12-15 00:00:00+00:00,770,
2016-12-16 00:00:00+00:00,270,
2016-12-17 00:00:00+00:00,20,
2016-12-18 00:00:00+00:00,10,
2016-12-19 00:00:00+00:00,470,
2016-12-20 00:00:00+00:00,380,
2016-12-21 00:00:00+00:00,350,
2016-12-22 00:00:00+00:00,180,
2016-12-23 00:00:00+00:00,80,
2016-12-24 00:00:00+00:00,20,
2016-12-25 00:00:00+00:00,10,
2016-12-26 00:00:00+00:00,10,
2016-12-27 00:00:00+00:00,50,
2016-12-28 00:00:00+00:00,30,
2016-12-29 00:00:00+00:00,40,
2016-12-30 00:00:00+00:00,90,
2016-12-31 00:00:00+00:00,10,
2017-01-01 00:00:00+00:00,10,
2017-01-02 00:00:00+00:00,50,
2017-01-03 00:00:00+00:00,70,
2017-01-04 00:00:00+00:00,100,
2017-01-05 00:00:00+00:00,70,
2017-01-06 00:00:00+00:00,10,
2017-01-07 00:00:00+00:00,20,
2017-01-08 00:00:00+00:00,10,
2017-01-09 00:00:00+00:00,750,
2017-01-10 00:00:00+00:00,460,
2017-01-11 00:00:00+00:00,370,
2017-01-12 00:00:00+00:00,460,
2017-01-13 00:00:00+00:00,210,
2017-01-14 00:00:00+00:00,50,
2017-01-15 00:00:00+00:00,50,
2017-01-16 00:00:00+00:00,490,
2017-01-17 00:00:00+00:00,350,
2017-01-18 00:00:00+00:00,220,
2017-01-19 00:00:00+00:00,520,
2017-01-20 00:00:00+00:00,480,
2017-01-21 00:00:00+00:00,60,
2017-01-22 00:00:00+00:00,40,
2017-01-23 00:00:00+00:00,290,
2017-01-24 00:00:00+00:00,290,
2017-01-25 00:00:00+00:00,270,
2017-01-26 00:00:00+00:00,440,
2017-01-27 00:00:00+00:00,60,
2017-01-28 00:00:00+00:00,30,
2017-01-29 00:00:00+00:00,40,
2017-01-30 00:00:00+00:00,290,
2017-01-31 00:00:00+00:00,260,
2017-02-01 00:00:00+00:00,570,
2017-02-02 00:00:00+00:00,430,
2017-02-03 00:00:00+00:00,250,
2017-02-04 00:00:00+00:00,60,
2017-02-05 00:00:00+00:00,40,
2017-02-06 00:00:00+00:00,410,
2017-02-07 00:00:00+00:00,520,
2017-02-08 00:00:00+00:00,430,
